school,title,start,end,url,location,city,isOnline,description,imageUrl
Arts et Métiers Alumni,Pour une industrie mixte et performante,2025-11-03 17:30:00+00:00,2025-11-03T20:00:00+00:00,https://www.arts-et-metiers.asso.fr/events/193128,"9bis Av. d'Iéna, 75016 Paris, France",Paris,False,,
Arts et Métiers Alumni,Pitch et recherche d'emploi (mise en pratique) ,2025-11-04 07:00:00+00:00,2025-11-04T08:30:00+00:00,https://www.arts-et-metiers.asso.fr/events/193830,En ligne,,True,,
Arts et Métiers Alumni,Décoder son profil DISC pour mieux communiquer,2025-11-04 11:30:00+00:00,2025-11-04T13:00:00+00:00,https://www.arts-et-metiers.asso.fr/events/193834,En ligne,,True,,
Arts et Métiers Alumni,"L’ENGAGEMENT DES SALARIES,  MOTEUR DE PERFORMANCE DES PME : Pourquoi ? Comment ?",2025-11-06 16:30:00+00:00,2025-11-06T19:00:00+00:00,https://www.arts-et-metiers.asso.fr/events/192355,"Immeuble Marbotte Plaza Cite Affaires, Le Trident, 2B Av. de Marbotte, 21000 Dijon, France",Dijon,False,,
Arts et Métiers Alumni,Visite Usine Louis Vuitton,2025-11-07 11:30:00+00:00,2025-11-07T16:30:00+00:00,https://www.arts-et-metiers.asso.fr/events/194012,"3 Rue de la Mongie, 85140 Sainte-Florence, France",Sainte-Florence,False,,
ESSEC Alumni,[REPORT] Voyage - 3 jours dans Le Perche (Orne),2025-11-08 10:00:00+00:00,2025-11-10T18:00:00+00:00,https://www.essecalumni.com/event/report-voyage-3-jours-dans-le-perche-orne/2025/11/09/7696,"Le Perche, FR",,False,"Cher(e)s membres, Le Club ESSEC Alumni Châteaux et Jardins, ainsi que l’Agence Mondes et Merveilles de notre camarade Ombeline Gas (M13) vous propose un très beau voyage dans le Perche pendant 3 jours les 8, 9 et 10 novembre avec si tout se passe bien de superbes couleurs d’automne ! L’inscription se fera directement auprès de l'agence (formulaire ci-dessous) Mondes et Merveilles. Si vous souhaitez du covoiturage, nous nous chargerons de vous y aider. Soizig de l’agence et moi-même sommes à votre disposition pour tous renseignements complémentaires.Le programme :Le PercheUne terre souvent définie par ce qu’elle n’est pas : pas le bassin parisien, pas tout à fait la Normandie, pas du tout la Beauce.Une certitude : c’est le début de l’ouest de la France, avec ses paysages vallonnés et son bocage, son patrimoine historique et ses jardins que vous allez découvrir en automne.VisitesTous les lieux vous sont présentés par leurs propriétaires, les temps de visites tiennent compte du climat automnal et nous avons choisi de limiter au maximum la longueur des parcours pour que ce séjour soit agréable. Jour 1 - samedi 8 novembreRendez-vous à 10h au Jardin de Fréville. Parcs Botanique de France. Philippe l'Hermite et Gilles Schnebelen vous accueilleront dans leur « jardins des quatre saisons » connu pour sa grande diversité de végétaux à écorces et couleurs d'automne (érables, liquidambars, parrotias de Perse, fusains, bouleaux, cornouillers, hydrangeas, etc.), de conifères et de plantes vivaces. Dans ce parc à l’anglaise, un jardin anglo-japonais peuplé de fabriques autour de deux étangs est particulièrement spectaculaire en cette saison.78113 Adainville.Déjeuner à proximité d’AdainvilleJardin du Bois de Puits. Ce lieu labellisé Jardin remarquable (exceptionnellement ouvert pour vous) va vous surprendre tant par sa richesse botanique que par la diversité des ambiances que vous traverserez. Éléments remarquables, outre les collections végétales colorées par l’automne : statues, sculptures, Kiosque, théâtre de Verdure, orangerie. Vous serez guidés par son créateur, ex-pépiniériste Jean-Pierre Jacob et sa femme Evelyne. 61130 Belforêt en PercheChez nous CampagneUn univers hors du temps dans les granges d'un prieuré du 17ᵉ, au cœur d'un jardin arboré. Vous aimerez, en fin de journée, faire une pause dans ce lieu de charme où se mélangent brocante, trésors et curiosités, créé par Cécile et Franck Schmitt. Ces jours-ci seront exposés les créations de cinq artisans. 61190 Tourouvre au PercheApéritif, dîner et nuit à Mortagne-au-Perche à l’Hôtel-Restaurant du TribunalJour 2 - dimanche 9 novembreMortagne-au-Perche départ de l’Hôtel-Restaurant du TribunalLa Petite Rochelle.Ce jardin agrandi au fil du temps est divisé en 10 espaces d’inspiration, d’atmosphère, de palette de couleurs différentes. Il s’en dégage une impression de paix, de promesses de découvertes. Nombreuses sont les plantes choisies pour leurs couleurs d’automne éclatantes. Après le décès d'Hélène d'Andlau, disparue à 101 ans, sa fille, Laurence de Bonneval partage sa passion avec vous.Site : Parcs et jardins de France Site: la-petite-rochelle.fr 61110 Rémalard en PercheArboretum Boiscorde. Parcs et jardins de FranceL'arboretum de Boiscorde a été créé il y a 25 ans. Le premier projet a été de recréer en France, les splendeurs de l'Indian summer américain, après les érables d’autres arbres devraient être spectaculaires en cette saison.Site : parcsetjardins.fr/jardins/1109-arboretum-de-boiscorde 61110 Rémalard en PercheDéjeuner à Préaux du PercheLe jardin François. Jardin remarquableC'est un mariage réussi entre une ferme typique et un jardin d'aujourd'hui rêvé par d'un horticulteur. Les plantes les plus élégantes voisinent avec les plus humbles, les plus anciennes avec les dernières nouveautés et en automne, vous serez entourés de graciles graminées.Lieu-dit, Le Clos, 61340 Préaux du PercheVisite guidée de Bellême, cité de caractère et visite libreSiège d’un baillage, Bellême voit se développer sous l’Ancien Régime une société composée de gentilshommes, d’hommes de robe et de riches négociants qui font bâtir de nombreux hôtels particuliers.19h30 Mortagne au Perche Hôtel Restaurant du TribunalJour 3 - lundi 10 novembreHôtel Mortagne-au-PercheChâteau de MédavyCette noble demeure, qui a retrouvé toute son élégance et sa majesté ""grand siècle"", nous invite à pénétrer dans son intimité et se raconte au fil ininterrompu d'une histoire qui remonte au Moyen Âge. Voici dévoilées, aux pages d'un beau-livre, les multiples facettes d'un domaine singulier. Une découverte où se conjuguent avec bonheur passé et présent, richesses du patrimoine et douceur de vivre, dans l'écrin d'un parc traversé d'eaux vives.Site: www.fondation-patrimoine.org/les-projets/charon-medavy/79121 61570 MédavyLes jardins du Montperthuis. Jardin remarquableConçu en 2010 par le paysagiste Philippe Dubreuil, le jardin se divise à partir de son coeur en quatre bras tel le jardin du paradis et ses quatre fleuves, il est entouré de charmilles reprenant le schéma du jardin du Moyen Âge. Un jardin potager renferme dans ses murets, les légumes oubliés et les fleurs à couper, une serre accolée permet d'entreposer les agrumes et les cactus.Site www.lesjardinsdumontperthuis.com La Pillardière, 61360 ChemilliDéjeuner aux jardins du Montperthuis pour conclure votre séjourRetour à Adainville, si vous avez opté pour le covoiturage et que votre voiture y est garée, soit retour à Paris18 h 27 coucher du soleilInformations pratiques : De 3 jours / 2 nuits.Hôtel du Tribunal*** 4 Pl. du Palais, 61400 Mortagne-au-PerchePrix par personne partageant une chambre double :730€Supplément chambre individuelle : 150€Ces prix comprennent :La restauration : 2 petits-déjeuners, 3 déjeuners (plat + dessert et 1 boisson choisis avec vous) et 2 dîners (avec apéritif)2 nuitées.Les visites guidées et droits d'entrées mentionnés au programmeles écouteurs vous permettant de suivre la visite guidéeCes prix ne comprennent pas :Les dépenses à caractère personnel (téléphone...) Les boissons hors forfait.En option, L’assurance Multirisques : à souscrire au moment de l’inscription au cas où vous ne payez pas par carte bancaire et si votre banque n’offre pas les garanties nécessaires à un voyage sécurisé.Ce programme établi le 1er septembre est susceptible de modifications selon les autorisations accordées par les différents partenaires.J 1 Départ Adainville vers Mortagne-au-PercheJ 2 Autour de Mortagne-au-PercheJ 3 Départ Mortagne-au-Perche-Retour AdainvilleAvant votre départ, vous recevrez un guide détaillé avec toutes les adresses des différents lieux.INSCRIPTION : Bulletin d'inscription : https://www.essecalumni.com/medias/editor/Seějour dans le Perche.pdfJ’espère que ce voyage vous plaira,Bien amicalement. Gilles SCHNEBELEN (EXEC M11)",https://www.essecalumni.com/medias/image/109659652268c188a5b5e51.png
CentraleSupélec Alumni,Club du livre CentraleSupélec Alumni,2025-11-10 14:00:00+00:00,2025-11-10T17:00:00+00:00,https://association.centralesupelec-alumni.com/event/club-du-livre-centralesupelec-alumni/2025/11/09/9410,"Maison CentraleSupélec (Salle du Conseil d'Administration : 5e étage), 8, Rue Jean Goujon, 75008, PARIS, FR",PARIS,False,"Le Club du livre du Groupe de Paris des Centraliens a été fondé il y a plus de 20 ans. Depuis, bien sûr, le club accueille, de droit, les membres de Supélec.Il s’appelle désormais « Club du livre CSA IDF ».Un lundi par mois, nous nous retrouvons rue Jean Goujon, pour échanger nos expériences de lectures, et nos jugements personnels au sujet de titres récents ou plus anciens. Les livres circulent, les critiques - positives ou non - fusent.Les admirations et les détestations rendent ces moments passionnants.Rejoignez-nous, petits ou grands lecteurs.Prochaine date de réunion, de 14 h à 17 h :Le 1er décembre 2025.Responsable de l'activité :Colette Watissée c.watissee@gmail.com",https://association.centralesupelec-alumni.com/medias/image/68856612168d6a05a46b67.jpg
EDHEC Alumni,Welcome Party Casablanca,2025-11-11 19:00:00+00:00,2025-11-11T22:00:00+00:00,https://alumni.edhec.edu/event/welcome-party-casablanca/2025/11/09/22544,"Glaz, 25, Rue Ahmed El Mokri, 20000, CASABLANCA, MA",CASABLANCA,False,"WELCOME PARTY CASABLANCA 2025MARDI 11 NOVEMBRE I GLAZChers Alumni,Le Club EDHEC de Casablanca a le plaisir de vous inviter à sa Welcome Party, un moment convivial placé sous le signe des retrouvailles et des nouvelles rencontres.Cette soirée sera l’occasion d’accueillir les nouveaux diplômés installés au Maroc, de retrouver la communauté EDHEC locale, et de partager un moment chaleureux. Que vous soyez récemment arrivé·e à Casablanca? ou membre de longue date du réseau, c’est le rendez-vous parfait pour échanger, élargir votre cercle et célébrer ensemble l’esprit EDHEC.📍GLAZ📅11 Novembre 2025Nous serons ravis de vous compter parmi nous, pour lancer ensemble cette nouvelle année du Club EDHEC Casablanca, dans la bonne humeur, l'ambition et l’énergie EDHEC qui nous rassemble.À très bientôt,L’équipe du Club EDHEC Casablanca",https://alumni.edhec.edu/medias/image/108792257369087a66dfca5.png
ESSEC Alumni,Atelier organisé par Le Wagon : Atelier d'initiation au code avec HTML/CSS,2025-11-12 11:00:00+00:00,2025-11-12T13:00:00+00:00,https://www.essecalumni.com/event/atelier-organise-par-le-wagon-atelier-d-initiation-au-code-avec-html-css/2025/11/09/7742,En ligne,,True,"Le service Carrière est ravi de vous présenter un atelier organisé par l'école de code Le Wagon.Atelier 4 : Initiation au code avec HTML/CSS Mercredi 12 novembre à 11h à 13hEssentielle pour tester son product/market-fit, la landing page permet de présenter son produit, d’attirer des leads et, en plus, de collecter des données. Apprenez à concevoir et à coder votre propre landing page avec HTML et CSS et développez une base de compétences solides en développement web et UX design. Cet atelier de 2 heures, 100% gratuit, sera animé par les intervenants du Wagon.Ce webinaire fait partie d'un cycle d’ateliers. Ce cycle peut être suivi dans son ensemble ou de manière ponctuelle, en fonction de vos besoins et de vos disponibilités. Vous êtes libre de composer le parcours qui vous convient.À qui s’adresse cet événement ?Tous les niveaux sont les bienvenus, même les débutant(e)s !Aucun pré-requis n'est nécessaire. Il suffit d'apporter son ordinateur et d'être présent(e) dès le début de l’atelier.Ce que vous apprendrez :✅ Les outils nécessaires pour concevoir, construire et héberger votre propre landing page✅ Comment structurer et styliser votre page web en HTML et CSS✅ Les meilleures pratiques d’UX design pour les landing pagesS'inscrireLes prochains Ateliers : Atelier 5 : Atelier d'initiation aux APIs pour automatiser la collecte de leads - Jeudi 13 novembre (11h-13h)Atelier 6 : Atelier d'initiation au Web Scraping avec Python - Vendredi 14 novembre à (11h-13h)À propos du Wagon   Le Wagon est un des leaders mondiaux des formations intensives en Développement Web, Data et No-code.Pour la seconde année, Le Wagon et Essec Alumni s'allient pour vous faire bénéficier de 10% de réduction sur les Bootcamps.Depuis 2013, Le Wagon forme des professionnels en quête d’évolution, des esprits créatifs ou encore des entrepreneurs aux métiers de la Tech. À temps plein ou à temps partiel, sur l’un de nos 40 campus dans le monde ou en ligne, nos intervenants passionnés enseignent les compétences les plus recherchées par les entreprises à travers une pédagogie basée sur la pratique.Rendez-vous sur lewagon.com pour accélérer votre carrière et rejoindre une communauté internationale de plus de 28 000 personnes !#carrierereseau#carriererechercheemploi#carriereprojettransition",https://www.essecalumni.com/medias/image/14598898268ca9dc77c74e.png
EDHEC Alumni,"Etudiants, découvrez ce que peut vous apporter votre réseau Alumni !",2025-11-12 12:30:00+00:00,2025-11-12T13:30:00+00:00,https://alumni.edhec.edu/event/etudiants-decouvrez-ce-que-peut-vous-apporter-votre-reseau-alumni/2025/11/09/22480,En ligne,,True,"Découvrez comment EDHEC ALUMNI peut devenir un levier précieux pour votre avenir ! Grâce à notre annuaire digital en ligne, accédez à un large réseau d’anciens élèves prêts à échanger et à partager leur expérience. Explorez les clubs Alumni qui vous permettront de rencontrer des diplômés partageant vos passions et objectifs professionnels. Vous avez aussi accès à notre plateforme de mentoring, où des Alumni expérimentés sont là pour vous guider et vous conseiller. Sans oublier une multitude d’événements, webinaires et rencontres pour développer vos compétences, enrichir votre réseau et saisir de nouvelles opportunités. Rejoindre l'association, c'est bénéficier de soutiens concrets, d’échanges enrichissants et de conseils personnalisés pour vous accompagner dans chaque étape de votre parcours.Format de la Rencontre1h d'échanges LIVE  dont, pour que l'expérience soit la plus participative et enrichissante pour tous:-  40mn de présentation de la part de l'équipe EDHEC Alumni ( services, outils, actualités )-  20mn session de Q&A ou vous pourrez poser vos questions en direct.InscriptionInscrivez-vous à la Rencontre en cliquant sur le bouton ""je m'inscris"" Vous devez être logués pour vous inscrire, connectez vous en haut et à gauche du site EDHEC ALUMNI en utilisant votre email de login  et mot de passe que vous avez enregistré à l'activation de votre compte.NB: Si vous n'avez pas encore activé votre compte : cliquez ici suivez les instructions puis reconnectez vous au site pour vous inscrire à l'évènement.Contact : Cécile Loyer, Head of Marketing EDHEC Alumni : cecile.loyer@edhec.edu",https://alumni.edhec.edu/medias/image/56212687968e3b4191510e.jpg
